measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,2,Female,22,All ages,1008,Eye cancer,1,Number,2016,199.6295113,215.3093844,175.5789059
1,Deaths,163,India,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2015,5.029089476,7.945709688,2.067805812
1,Deaths,163,India,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2015,2.788926625,3.825260403,1.722354693
1,Deaths,163,India,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2015,11.49118793,18.15801407,5.112286936
1,Deaths,163,India,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2015,5.969141826,8.427715589,3.682864741
1,Deaths,163,India,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2015,13.56211046,20.40349784,6.00913456
1,Deaths,163,India,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2015,6.590765064,8.960110511,3.710230211
1,Deaths,163,India,1,Male,22,All ages,1008,Eye cancer,1,Number,2015,456.7019878,627.9855939,267.1328578
1,Deaths,163,India,2,Female,22,All ages,1008,Eye cancer,1,Number,2015,337.870142,482.5383959,198.5452059
1,Deaths,163,India,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2018,5.221301852,8.58672319,2.156917849
1,Deaths,163,India,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2018,3.01191964,4.139465885,1.827156857
1,Deaths,163,India,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2018,12.72193218,19.54510819,5.729295952
1,Deaths,163,India,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2018,6.417599218,8.896023668,4.082748321
1,Deaths,163,India,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2018,14.38025105,22.37797544,6.1467427
1,Deaths,163,India,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2018,7.337538225,9.887778083,4.221978345
1,Deaths,163,India,1,Male,22,All ages,1008,Eye cancer,1,Number,2018,462.4432272,652.8463555,266.7708574
1,Deaths,163,India,2,Female,22,All ages,1008,Eye cancer,1,Number,2018,344.35083,483.0690864,200.9420268
1,Deaths,102,United States of America,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2018,2.759156762,2.931191145,2.580493726
1,Deaths,102,United States of America,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2018,2.827767633,2.982196748,2.672037329
1,Deaths,102,United States of America,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2018,4.535174982,4.795861109,4.298488006
1,Deaths,102,United States of America,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2018,3.458225024,3.685711635,3.250071871
1,Deaths,102,United States of America,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2018,6.982869223,7.386619852,6.614212376
1,Deaths,102,United States of America,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2018,5.576405765,6.010195993,5.184811131
